timestamp,username,computerid,fileaccesstype,filedestinationdirectory,nearbyusers,computer_user_location,computerroom,computer_user_role,shift_start,shift_end,day_type,assigned_computer_id,nearby_user_roles,file_destination,file_destination_name,file_type
2025-03-26 00:58:15,as2,Computer D,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPENWMOD.docx,"['Manager2', 'AS2']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,~$2_OPENWMOD.docx,Confidential
2025-03-26 00:58:16,as2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD.docx,"['Manager2', 'AS2']",Room D,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,AS2_OPENWMOD.docx,Confidential
2025-03-26 00:58:19,as2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD.docx,['Director2'],Room A,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Director,janva,AS2_OPENWMOD.docx,Confidential
2025-03-26 00:58:21,as2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD.docx,['Director2'],Room A,Room D,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Director,janva,AS2_OPENWMOD.docx,Confidential
2025-03-26 00:58:30,director2,Computer A1,File Opening,C:\Users\janva\Downloads\Director2\~$rector2_OPEN.docx,['Director1'],Room C,Room A,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,~$rector2_OPEN.docx,Confidential
2025-03-26 00:58:31,director2,Computer A1,File Modification,C:\Users\janva\Downloads\Director2\Director2_OPEN.docx,['Director1'],Room C,Room A,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,Director2_OPEN.docx,Confidential
2025-03-26 00:58:35,director1,Computer A1,File Move,C:\Users\janva\Downloads\Director1_InternalFolder\Director1_MOVE_INTERNAL_1.docx,['Director1'],Room A,Room A,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,Director,janva,Director1_MOVE_INTERNAL_1.docx,Confidential
2025-03-26 00:58:42,as1,Computer A1,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,~$1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 00:58:43,as1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 00:58:45,as1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 00:58:48,as1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 00:58:49,as1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Administrative Staff, Manager",janva,AS1_OPENWMOD_NON.docx,Non-confidential
2025-03-26 00:58:54,as1,Computer A1,File Copy,C:\Users\janva\Downloads\AS1_InternalFolder\AS1_COPY_INTERNAL_1.docx,"['Manager2', 'AS1']",Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,"Manager, Administrative Staff",janva,AS1_COPY_INTERNAL_1.docx,Confidential
2025-03-26 00:59:00,as1,Computer A0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN_NON.docx,['AS1'],Room A,Room A,Administrative Staff,8:00:00,17:00:00,Weekday,B9D83F2E-9365-E911-80CF-9828A6447999,Administrative Staff,janva,~$1_OPEN_NON.docx,Non-confidential
2025-03-26 00:59:06,director1,Computer D,File Deletion,C:\Users\janva\Downloads\Director1\Director1_DELETE_NON_1.docx,"['AS1', 'Director1']",Room D,Room D,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,"Administrative Staff, Director",janva,Director1_DELETE_NON_1.docx,Non-confidential
2025-03-26 00:59:10,manager2,Computer D,File Copy,C:\Users\janva\Downloads\Manager2_InternalFolder\Manager2_COPY_NON_INTERNAL_1.docx,"['Manager1', 'Manager2']",Room D,Room D,Manager,9:00:00,18:00:00,Weekend,C4D5E6F7-7890-23CD-78AB-567890ABCDEF,"Manager, Manager",janva,Manager2_COPY_NON_INTERNAL_1.docx,Non-confidential
2025-03-26 00:59:15,director2,Computer A0,File Copy,C:\Users\janva\Downloads\ExternalDrive\Director2_COPY_EXTERNAL_1.docx,"['AS1', 'Director2', 'Manager1']",Room A,Room A,Director,12:00:00,21:00:00,Weekend,D2E1F0A9-8901-23CD-45EF-6789012345FE,"Administrative Staff, Director, Manager",janva,Director2_COPY_EXTERNAL_1.docx,Confidential
