Timestamp,Username,ComputerID,fileAccessType,fileDestinationDirectory,NearbyUsers,computer_user_location,ComputerRoom
2025-03-26 00:58:15,AS2,Computer D,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPENWMOD.docx,"['Manager2', 'AS2']",Room D,Room D
2025-03-26 00:58:16,AS2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD.docx,"['Manager2', 'AS2']",Room D,Room D
2025-03-26 00:58:19,AS2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD.docx,['Director2'],Room A,Room D
2025-03-26 00:58:21,AS2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD.docx,['Director2'],Room A,Room D
2025-03-26 00:58:30,Director2,Computer A1,File Opening,C:\Users\janva\Downloads\Director2\~$rector2_OPEN.docx,['Director1'],Room C,Room A
2025-03-26 00:58:31,Director2,Computer A1,File Modification,C:\Users\janva\Downloads\Director2\Director2_OPEN.docx,['Director1'],Room C,Room A
2025-03-26 00:58:35,Director1,Computer A1,File Move,C:\Users\janva\Downloads\Director1_InternalFolder\Director1_MOVE_INTERNAL_1.docx,['Director1'],Room A,Room A
2025-03-26 00:58:42,AS1,Computer A1,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A
2025-03-26 00:58:43,AS1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A
2025-03-26 00:58:45,AS1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A
2025-03-26 00:58:48,AS1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A
2025-03-26 00:58:49,AS1,Computer A1,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['AS1', 'Manager1']",Room A,Room A
2025-03-26 00:58:54,AS1,Computer A1,File Copy,C:\Users\janva\Downloads\AS1_InternalFolder\AS1_COPY_INTERNAL_1.docx,"['Manager2', 'AS1']",Room A,Room A
2025-03-26 00:59:00,AS1,Computer A0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN_NON.docx,['AS1'],Room A,Room A
2025-03-26 00:59:06,Director1,Computer D,File Deletion,C:\Users\janva\Downloads\Director1\Director1_DELETE_NON_1.docx,"['AS1', 'Director1']",Room D,Room D
2025-03-26 00:59:10,Manager2,Computer D,File Copy,C:\Users\janva\Downloads\Manager2_InternalFolder\Manager2_COPY_NON_INTERNAL_1.docx,"['Manager1', 'Manager2']",Room D,Room D
2025-03-26 00:59:15,Director2,Computer A0,File Copy,C:\Users\janva\Downloads\ExternalDrive\Director2_COPY_EXTERNAL_1.docx,"['AS1', 'Director2', 'Manager1']",Room A,Room A
2025-03-26 00:59:22,Manager1,Computer A1,File Opening,C:\Users\janva\Downloads\Manager1\~$nager1_OPEN.docx,['Manager1'],Room A,Room A
2025-03-26 00:59:29,AS1,Computer C1,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN_NON.docx,"['Manager2', 'AS1']",Room C,Room C
2025-03-26 00:59:35,Manager1,Computer A1,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager1_COPY_EXTERNAL_1.docx,['Manager1'],Room A,Room A
2025-03-26 00:59:39,Manager2,Computer D,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager2_COPY_NON_EXTERNAL_1.docx,"['Director1', 'AS2', 'Manager2']",Room D,Room D
2025-03-26 00:59:43,Director2,Computer A1,File Copy,C:\Users\janva\Downloads\Manager2\Director2_COPY_NON_OTHERS_1.docx,"['Director2', 'AS2']",Room A,Room A
2025-03-26 00:59:49,AS1,Computer A0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN.docx,"['AS1', 'Manager1']",Room A,Room A
2025-03-26 00:59:56,AS2,Computer D,File Copy,C:\Users\janva\Downloads\AS2_InternalFolder\AS2_COPY_INTERNAL_1.docx,"['Director1', 'AS2']",Room D,Room D
2025-03-26 01:00:03,AS2,Computer A1,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPEN.docx,"['AS2', 'Director1']",Room A,Room A
2025-03-26 01:00:10,Director1,Computer D,File Move,C:\Users\janva\Downloads\AS2\Director1_MOVE_NON_OTHERS_1.docx,"['Manager2', 'Director1']",Room D,Room D
2025-03-26 01:00:16,AS2,Computer A1,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPEN_NON.docx,"['Manager1', 'Manager2', 'Director2', 'AS2']",Room A,Room A
2025-03-26 01:00:24,Manager2,Computer D,File Move,C:\Users\janva\Downloads\AS1\Manager2_MOVE_NON_OTHERS_1.docx,['Manager2'],Room D,Room D
2025-03-26 01:00:30,AS2,Computer C0,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPENWMOD_NON.docx,['AS2'],Room C,Room C
2025-03-26 01:00:33,AS2,Computer C0,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,['AS2'],Room C,Room C
2025-03-26 01:00:34,AS2,Computer C0,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,['AS2'],Room C,Room C
2025-03-26 01:00:36,AS2,Computer C0,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,['AS2'],Room C,Room C
2025-03-26 01:00:40,Manager2,Computer D,File Copy,C:\Users\janva\Downloads\Manager2_InternalFolder\Manager2_COPY_INTERNAL_1.docx,['Manager2'],Room D,Room D
2025-03-26 01:00:45,Director2,Computer C1,File Move,C:\Users\janva\Downloads\Manager1\Director2_MOVE_OTHERS_1.docx,"['Director2', 'Manager1']",Room C,Room C
2025-03-26 01:00:50,AS1,Computer C0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPEN.docx,"['Director1', 'AS1']",Room C,Room C
2025-03-26 01:00:58,AS1,Computer D,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D
2025-03-26 01:01:01,AS1,Computer D,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D
2025-03-26 01:01:02,AS1,Computer D,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D
2025-03-26 01:01:03,AS1,Computer D,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,"['Manager1', 'AS1']",Room D,Room D
2025-03-26 01:01:09,AS2,Computer A0,File Deletion,C:\Users\janva\Downloads\AS2\AS2_DELETE_NON_1.docx,"['AS2', 'Manager1']",Room A,Room A
2025-03-26 01:01:13,AS2,Computer A0,File Move,C:\Users\janva\Downloads\ExternalDrive\AS2_MOVE_EXTERNAL_1.docx,['AS2'],Room A,Room A
2025-03-26 01:01:17,Manager1,Computer D,File Copy,C:\Users\janva\Downloads\AS1\Manager1_COPY_NON_OTHERS_1.docx,['Manager1'],Room D,Room D
2025-03-26 01:01:22,AS2,Computer D,File Copy,C:\Users\janva\Downloads\AS2_InternalFolder\AS2_COPY_NON_INTERNAL_1.docx,['AS2'],Room D,Room D
2025-03-26 01:01:29,AS2,Computer D,File Opening,C:\Users\janva\Downloads\AS2\~$2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D
2025-03-26 01:01:32,AS2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D
2025-03-26 01:01:33,AS2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D
2025-03-26 01:01:35,AS2,Computer D,File Modification,C:\Users\janva\Downloads\AS2\AS2_OPENWMOD_NON.docx,"['Manager2', 'Manager1', 'AS2']",Room D,Room D
2025-03-26 01:01:39,AS1,Computer A1,File Move,C:\Users\janva\Downloads\ExternalDrive\AS1_MOVE_EXTERNAL_1.docx,"['Director1', 'AS1', 'Manager2', 'AS2']",Room A,Room A
2025-03-26 01:01:44,Manager1,Computer C0,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager1_COPY_NON_EXTERNAL_1.docx,['Manager1'],Room C,Room C
2025-03-26 01:01:49,Manager2,Computer D,File Copy,C:\Users\janva\Downloads\Manager2_InternalFolder\Manager2_COPY_INTERNAL_2.docx,"['Manager1', 'AS1', 'Director2', 'Manager2', 'Director1']",Room D,Room D
2025-03-26 01:01:56,Director2,Computer D,File Move,C:\Users\janva\Downloads\Manager2\Director2_MOVE_NON_OTHERS_1.docx,['Director2'],Room D,Room D
2025-03-26 01:02:02,Manager1,Computer A0,File Opening,C:\Users\janva\Downloads\Manager1\~$nager1_OPEN_NON.docx,['Manager1'],Room A,Room A
2025-03-26 01:02:02,Manager1,Computer A0,File Modification,C:\Users\janva\Downloads\Manager1\Manager1_OPEN_NON.docx,['Manager1'],Room A,Room A
2025-03-26 01:02:07,Manager2,Computer A1,File Copy,C:\Users\janva\Downloads\ExternalDrive\Manager2_COPY_NON_EXTERNAL_2.docx,"['AS1', 'AS2', 'Manager2', 'Director1']",Room A,Room A
2025-03-26 01:02:14,AS1,Computer C0,File Opening,C:\Users\janva\Downloads\AS1\~$1_OPENWMOD_NON.docx,['AS1'],Room C,Room C
2025-03-26 01:02:18,AS1,Computer C0,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,['AS1'],Room C,Room C
2025-03-26 01:02:19,AS1,Computer C0,File Modification,C:\Users\janva\Downloads\AS1\AS1_OPENWMOD_NON.docx,['AS1'],Room C,Room C
